"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"P36","HDR1X1-BIG2","2720.472mil","1401.575mil","2720.472mil","1401.575mil","2720.472mil","1401.575mil","T","0.00","7"
"P18","HDR1X1-BIG2","2720.472mil","1102.362mil","2720.472mil","1102.362mil","2720.472mil","1102.362mil","T","0.00","37"
"P17","HDR1X1-BIG2","2578.74mil","1102.362mil","2578.74mil","1102.362mil","2578.74mil","1102.362mil","T","0.00","36"
"P19","HDR1X1-BIG2","2862.205mil","1102.362mil","2862.205mil","1102.362mil","2862.205mil","1102.362mil","T","0.00","38"
"P20","HDR1X1-BIG2","3003.937mil","1102.362mil","3003.937mil","1102.362mil","3003.937mil","1102.362mil","T","0.00","39"
"Q1","DPAK","2809.055mil","4615.159mil","2944.882mil","4615.159mil","2673.228mil","4524.608mil","B","90.00","VND14NV04"
"Q2","DPAK","2553.149mil","1964.567mil","2417.323mil","1964.567mil","2688.976mil","2055.118mil","B","270.00","VND14NV04"
"Q3","DPAK","2553.149mil","2291.339mil","2417.323mil","2291.339mil","2688.976mil","2381.89mil","B","270.00","VND14NV04"
"Q4","DPAK","2553.15mil","1637.795mil","2417.323mil","1637.795mil","2688.977mil","1728.346mil","B","270.00","VND14NV04"
"Q5","DPAK","2035.433mil","1769.685mil","2035.433mil","1633.858mil","1944.882mil","1905.512mil","B","360.00","VND14NV04"
"Q6","DPAK","3398.623mil","3147.638mil","3398.623mil","3011.811mil","3308.072mil","3283.465mil","B","360.00","VND14NV04"
"Q7","DPAK","4318.898mil","4604.331mil","4318.898mil","4468.504mil","4228.346mil","4740.157mil","B","360.00","VND14NV04"
"Q8","DPAK","4382.873mil","4007.874mil","4382.873mil","3872.047mil","4292.322mil","4143.701mil","B","360.00","VND14NV04"
"Q9","DPAK","3370.079mil","3824.803mil","3370.079mil","3688.976mil","3279.528mil","3960.63mil","B","360.00","VND14NV04"
"Q10","DPAK","3039.37mil","1785.433mil","3039.37mil","1649.606mil","2948.819mil","1921.26mil","B","360.00","VND14NV04"
"Q11","DPAK","3854.331mil","3820.866mil","3854.331mil","3685.039mil","3763.78mil","3956.693mil","B","360.00","VND14NV04"
"Q12","DPAK","3811.024mil","3149.606mil","3811.024mil","3013.78mil","3720.472mil","3285.433mil","B","360.00","VND14NV04"
"Q13","DPAK","3001.967mil","2293.307mil","3001.967mil","2157.48mil","2911.416mil","2429.134mil","B","360.00","MJD340TF"
"Q14","SOT-23","2772.635mil","3196.85mil","2772.635mil","3196.85mil","2735.233mil","3150.59mil","T","360.00","BC817"
"Q15","TO-220AB-2","4381.89mil","3488.189mil","4440.945mil","3488.189mil","4440.945mil","3588.189mil","T","270.00","BIP373"
"Q16","TO-220AB-2","4381.89mil","2966.535mil","4440.945mil","2966.535mil","4440.945mil","3066.535mil","T","270.00","BIP373"
"Q17","TO-220AB-2","4381.89mil","2444.882mil","4440.945mil","2444.882mil","4440.945mil","2544.882mil","T","270.00","BIP373"
"Q18","TO-220AB-2","4381.89mil","1923.228mil","4440.945mil","1923.228mil","4440.945mil","2023.228mil","T","270.00","BIP373"
"R1","R0805","2141.733mil","4215.551mil","2141.732mil","4215.551mil","2104.331mil","4215.551mil","T","360.00","1k"
"R2","R0805","2454.725mil","4618.11mil","2454.725mil","4618.11mil","2417.323mil","4618.11mil","B","360.00","68k"
"R3","R0805","2472.441mil","4523.622mil","2472.441mil","4523.622mil","2509.843mil","4523.622mil","B","180.00","510"
"R4","R1206","3409.45mil","4588.583mil","3409.45mil","4588.583mil","3464.568mil","4588.583mil","T","180.00","1k"
"R5","R0805","3374.016mil","4791.339mil","3374.016mil","4791.339mil","3374.016mil","4753.937mil","T","90.00","160"
"R6","R0805","3984.252mil","4799.212mil","3984.252mil","4799.212mil","4021.654mil","4799.212mil","T","180.00","100k"
"R7","R0805","1822.835mil","1633.858mil","1822.835mil","1633.858mil","1822.835mil","1671.26mil","B","270.00","10k"
"R8","R0805","1685.039mil","1413.386mil","1685.039mil","1413.386mil","1722.441mil","1413.386mil","B","180.00","0"
"R9","R0805","2633.858mil","4502.953mil","2633.858mil","4502.953mil","2671.26mil","4502.953mil","T","180.00","10k"
"R10","R0805","2540.355mil","3303.15mil","2540.354mil","3303.15mil","2502.953mil","3303.15mil","B","360.00","10k"
"R12","R1206","2427.165mil","3250.001mil","2427.165mil","3250.001mil","2427.165mil","3305.119mil","B","270.00","120"
"R13","R0805","4220.472mil","4696.851mil","4220.472mil","4696.85mil","4220.472mil","4659.449mil","T","90.00","100k"
"R14","R0805","3574.803mil","4629.921mil","3574.803mil","4629.921mil","3537.401mil","4629.921mil","T","360.00","61.9"
"R15","R0805","4377.953mil","4503.937mil","4377.953mil","4503.937mil","4377.953mil","4541.339mil","T","270.00","1k"
"R16","R1206","2578.74mil","4562.992mil","2578.74mil","4562.992mil","2578.74mil","4507.874mil","B","90.00","0"
"R17","R0805","3582.677mil","4526.575mil","3582.677mil","4526.575mil","3545.276mil","4526.575mil","T","0.00","10k"
"R18","R0805","4244.094mil","4496.063mil","4244.095mil","4496.063mil","4281.496mil","4496.063mil","T","180.00","4.7k"
"R20","R0805","3582.678mil","4436.023mil","3582.677mil","4436.023mil","3545.276mil","4436.023mil","T","0.00","6.8k"
"R21","R0805","1141.732mil","1791.339mil","1141.732mil","1791.339mil","1141.732mil","1753.937mil","B","90.00","10k"
"R11","R0805","3163.386mil","4378.937mil","3163.386mil","4378.937mil","3163.386mil","4416.339mil","T","270.00","100"
"R22","R0805","3440.945mil","4437.007mil","3440.944mil","4437.007mil","3403.543mil","4437.007mil","T","0.00","6.8k"
"R23","R0805","1889.764mil","4578.74mil","1889.764mil","4578.74mil","1889.764mil","4616.142mil","B","270.00","68k"
"R24","R0805","1598.425mil","4551.182mil","1598.425mil","4551.181mil","1598.425mil","4513.78mil","B","90.00","10k"
"R25","R0805","1814.961mil","4578.74mil","1814.961mil","4578.74mil","1814.961mil","4616.142mil","B","270.00","5.1k"
"R26","R0805","4228.346mil","4322.834mil","4228.346mil","4322.835mil","4228.346mil","4360.236mil","T","270.00","10k"
"R27","R1206","2649.606mil","2472.441mil","2649.606mil","2472.441mil","2594.488mil","2472.441mil","B","360.00","330"
"R28","R1206","2724.409mil","1964.567mil","2724.409mil","1964.567mil","2669.291mil","1964.567mil","B","360.00","68k"
"R29","R0805","3401.575mil","4338.582mil","3401.575mil","4338.582mil","3364.173mil","4338.582mil","T","0.00","82.5"
"R30","R0805","3551.182mil","4283.464mil","3551.181mil","4283.464mil","3513.78mil","4283.464mil","T","0.00","10k"
